5_DAY,RIGOROUS,ABS_DIFFERENCE
62,61,1
46,52,6
37,38,1
46,47,1
66,69,3
35,36,1
46,48,2
66,63,3
35,31,4
65,68,3
80,77,3
46,44,2
43,40,3
58,53,5
64,68,4
53,58,5
41,44,3
51,55,4
62,65,3
2.57,2.52,0.05
93,94,1
37,37,0
51,49,2
42,42,0
51,50,1
40,41,1
86,86,0
57,57,0
58,59,1
55,54,1
74,76,2
55,58,3
44,46,2
44,43,1
79,79,0
49,54,5
63,66,3
59,61,2
73,72,1
50,52,2
57,55,2
1.64,1.61,0.03
66,65,1
52,52,0
1.36,1.4,0.04
51,52,1
52,49,3
63,63,0
44,53,9
43,47,4
56,52,4
60,63,3
60,63,3
63,60,3
66,68,2
1.54,1.66,0.12
2.67,2.71,0.04
70,71,1
74,73,1
60,60,0
28,28,0
89,90,1
46,47,1
67,68,1
61,61,0
79,81,2
70,69,1
77,78,1
53,53,0
80,86,6
73,79,6
67,72,5
16,19,3
79,83,4
38,35,3
82,85,3
52,55,3
78,81,3
59,62,3
24,23,1
93,94,1
56,58,2
54,56,2
69,71,2
32,33,1
63,61,2
37,36,1
56,57,1
55,56,1
64,64,0
79,78,1
32,35,3
93,95,2
60,55,5
97,96,1
